Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
MGLN,"Magellan Health, Inc.",64.23,1536724717,n/a,n/a,Health Care,Hospital/Nursing Management,https://www.nasdaq.com/symbol/mgln
MGTA,"Magenta Therapeutics, Inc.",16,530424624,n/a,2018,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/mgta
MGIC,Magic Software Enterprises Ltd.,8.59,418826890.6,n/a,1991,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/mgic
MGYR,"Magyar Bancorp, Inc.",11.5,66938579,n/a,n/a,Finance,Savings Institutions,https://www.nasdaq.com/symbol/mgyr
MHLD,"Maiden Holdings, Ltd.",0.8791,72914960.1,n/a,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/mhld
MJCO,Majesco,7.14,305577612.9,n/a,n/a,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/mjco
MMYT,MakeMyTrip Limited,30.86,3147153164,n/a,2010,Consumer Services,Transportation Services,https://www.nasdaq.com/symbol/mmyt
MBUU,"Malibu Boats, Inc.",43.69,910351622,n/a,2014,Capital Goods,Marine Transportation,https://www.nasdaq.com/symbol/mbuu
MLVF,"Malvern Bancorp, Inc.",20.31,157902004.1,n/a,n/a,Finance,Savings Institutions,https://www.nasdaq.com/symbol/mlvf
MAMS,"MAM Software Group, Inc.",8.55,107769928.5,n/a,n/a,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/mams
TUSK,"Mammoth Energy Services, Inc.",20.75,928680318.5,n/a,2016,Energy,Oilfield Services/Equipment,https://www.nasdaq.com/symbol/tusk
RPIBC,Managed Portfolio Series,99.61,24902500,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/rpibc
MANH,"Manhattan Associates, Inc.",53.27,3463491973,n/a,1998,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/manh
LOAN,"Manhattan Bridge Capital, Inc",6.3,60880686.3,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/loan
MNTX,"Manitex International, Inc.",7.46,146381537.4,n/a,n/a,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/mntx
MTEX,"Mannatech, Incorporated",19.7,46910506.8,n/a,n/a,Consumer Durables,Specialty Chemicals,https://www.nasdaq.com/symbol/mtex
MNKD,MannKind Corporation,1.83,342836895.8,n/a,2004,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/mnkd
MANT,ManTech International Corporation,53.92,2144448492,n/a,2002,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/mant
MARA,"Marathon Patent Group, Inc.",0.6289,16049490.27,n/a,n/a,Miscellaneous,Multi-Sector Companies,https://www.nasdaq.com/symbol/mara
MCHX,"Marchex, Inc.",4.25,178426751.3,n/a,2004,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/mchx
MRIN,Marin Software Incorporated,3.93,22762560,n/a,n/a,Technology,EDP Services,https://www.nasdaq.com/symbol/mrin
MARPS,Marine Petroleum Trust,2.33,4660000,n/a,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/marps
MRNS,"Marinus Pharmaceuticals, Inc.",3.89,157642300.6,n/a,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/mrns
MRKR,"Marker Therapeutics, Inc.",5.35,242733218.3,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/mrkr
MKTX,"MarketAxess Holdings, Inc.",225.67,9158883071,n/a,2004,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/mktx
MRLN,Marlin Business Services Corp.,23.16,286436487.8,n/a,2003,Finance,Major Banks,https://www.nasdaq.com/symbol/mrln
MAR,Marriott International,120.7,41174427210,n/a,n/a,Consumer Services,Hotels/Resorts,https://www.nasdaq.com/symbol/mar
MBII,"Marrone Bio Innovations, Inc.",1.62,179318661.8,n/a,2013,Basic Industries,Agricultural Chemicals,https://www.nasdaq.com/symbol/mbii
MRTN,"Marten Transport, Ltd.",18.02,981489771.8,n/a,1986,Transportation,Trucking Freight/Courier Services,https://www.nasdaq.com/symbol/mrtn
MMLP,Martin Midstream Partners L.P.,12.96,506077385.8,n/a,2002,Energy,Oil Refining/Marketing,https://www.nasdaq.com/symbol/mmlp
MRVL,Marvell Technology Group Ltd.,18.68,12280232000,n/a,2000,Technology,Semiconductors,https://www.nasdaq.com/symbol/mrvl
MASI,Masimo Corporation,128.65,6840581402,n/a,2007,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,https://www.nasdaq.com/symbol/masi
MCFT,"MasterCraft Boat Holdings, Inc.",22.12,414261192.2,n/a,2015,Capital Goods,Marine Transportation,https://www.nasdaq.com/symbol/mcft
MTCH,"Match Group, Inc.",53.03,14766145909,n/a,2015,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/mtch
MTLS,Materialise NV,15.1,255795057,16940070,2014,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/mtls
MTRX,Matrix Service Company,19.88,532472420.8,n/a,1990,Basic Industries,Engineering & Construction,https://www.nasdaq.com/symbol/mtrx
MAT,"Mattel, Inc.",14.49,5004791402,n/a,n/a,Consumer Non-Durables,Recreational Products/Toys,https://www.nasdaq.com/symbol/mat
MATW,Matthews International Corporation,39.16,1248077876,n/a,1994,Capital Goods,Metal Fabrications,https://www.nasdaq.com/symbol/matw
MXIM,"Maxim Integrated Products, Inc.",51.95,14203043763,n/a,1988,Technology,Semiconductors,https://www.nasdaq.com/symbol/mxim
MXWL,"Maxwell Technologies, Inc.",4.65,213939752.9,n/a,n/a,Miscellaneous,Industrial Machinery/Components,https://www.nasdaq.com/symbol/mxwl
MBFI,MB Financial Inc.,44.15,3720808093,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/mbfi
MBFIO,MB Financial Inc.,25.2697,0,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/mbfio
MGRC,McGrath RentCorp,57.27,1384921524,n/a,1984,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/mgrc
MDCA,MDC Partners Inc.,2.47,123339684.7,n/a,n/a,Technology,Advertising,https://www.nasdaq.com/symbol/mdca
MDJH,MDJM LTD,3.92,46961600,n/a,2019,Finance,Real Estate,https://www.nasdaq.com/symbol/mdjh
MDRR,"Medalist Diversified REIT, Inc.",7.3,17860048.6,n/a,2018,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/mdrr
MFIN,Medallion Financial Corp.,6.54,159837940.1,n/a,n/a,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/mfin
MFINL,Medallion Financial Corp.,25.85,0,n/a,n/a,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/mfinl
MNOV,"MediciNova, Inc.",8.42,355086640.2,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/mnov
MDSO,"Medidata Solutions, Inc.",72.31,4436073880,n/a,2009,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/mdso
MDGS,Medigus Ltd.,2.8659,4718561.055,1646450,n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/mdgs
